participant_id	age	sex
sub-dichotic02	0	U
sub-dichotic03	0	U
sub-dichotic04	0	U
sub-dichotic05	0	U
sub-dichotic06	0	U
sub-dichotic07	0	U
sub-dichotic08	0	U
sub-dichotic09	0	U
sub-dichotic10	0	U
sub-dichotic11	0	U
sub-dichotic12	0	U
sub-dichotic13	0	U
sub-dichotic14	0	U
sub-dichotic15	0	U
sub-dichotic16	0	U
sub-dichotic17	0	U
sub-dichotic18	0	U
sub-dichotic19	0	U
sub-dichotic20	0	U
sub-dichotic21	0	U
sub-dichotic22	0	U
sub-dichotic23	0	U
sub-dichotic24	0	U
sub-dichotic25	0	U
sub-diotic01	21	F
sub-diotic02	20	F
sub-diotic03	24	F
sub-diotic04	19	M
sub-diotic05	27	F
sub-diotic06	27	F
sub-diotic07	29	F
sub-diotic08	22	F
sub-diotic09	20	F
sub-diotic10	31	F
sub-diotic11	26	F
sub-diotic12	21	F
sub-diotic13	21	F
sub-diotic14	38	M
sub-diotic16	23	M
sub-diotic17	21	F
sub-diotic18	20	M
sub-diotic19	29	M
sub-diotic20	23	M
sub-diotic21	27	F
sub-diotic22	29	F
sub-diotic23	18	F
sub-diotic24	18	F
sub-diotic25	19	F
sub-diotic26	22	M
sub-diotic27	25	M
sub-diotic28	20	M
sub-diotic29	19	F
sub-passive17	22	F
sub-passive18	23	F
sub-passive19	39	M
sub-passive20	18	F
sub-passive21	18	F
sub-passive22	23	U
sub-passive24	19	F
sub-passive25	20	M
sub-passive26	22	F
sub-passive27	21	F
sub-passive28	30	F
sub-passive29	18	F
sub-passive30	21	M
sub-passive31	21	F
