participant_id	age	sex
sub-001	20	M
sub-002	27	M
sub-004	36	F
sub-005	29	M
sub-006	27	F
sub-007	20	F
sub-009	20	F
sub-010	20	F
sub-011	23	M
sub-012	27	F
sub-013	18	F
sub-014	21	F
sub-016	29	M
sub-017	19	M
sub-018	27	M
sub-019	20	M
sub-020	22	F
sub-021	24	F
sub-023	39	F
sub-024	19	F
sub-025	22	F
sub-026	21	F
sub-027	20	M
sub-029	25	F
sub-031	21	F
sub-032	21	F
sub-033	19	F
sub-034	19	F
sub-035	25	F
sub-036	32	M
sub-037	28	M
sub-038	20	F
sub-039	25	M
sub-040	20	F
sub-041	18	F
sub-042	26	F
sub-043	25	F
sub-044	18	F
sub-045	20	M
sub-046	23	M
sub-047	19	F
sub-048	20	F
sub-049	19	F
sub-050	21	F
sub-051	26	F
sub-052	28	F
sub-053	21	F
sub-054	26	F
sub-055	37	M
sub-056	26	M
sub-057	20	M
sub-058	22	F
sub-059	19	F
sub-060	19	M
sub-061	23	F
sub-062	32	M
sub-064	19	F
sub-065	25	F
sub-066	19	F
sub-067	28	F
sub-068	23	F
sub-069	21	F
sub-070	22	M
sub-071	20	F
sub-072	24	M
sub-073	24	M
sub-074	21	M
sub-075	21	M
sub-076	24	F
sub-077	24	M
sub-078	19	F
sub-079	36	M
sub-080	24	F
sub-081	29	F
sub-082	19	M
sub-083	22	M
sub-084	23	F
sub-085	23	F
sub-086	25	M
sub-087	19	M
sub-088	18	F
sub-089	20	F
sub-090	23	F
sub-091	23	F
sub-092	25	M
sub-093	18	M
sub-094	19	M
sub-096	20	F
sub-097	23	F
sub-098	23	F
sub-099	23	F
sub-100	18	M
sub-101	24	M
sub-102	21	M
sub-103	19	M
sub-105	20	F
sub-106	26	F
sub-107	25	F
sub-108	23	F
sub-109	18	M
sub-110	36	M
sub-111	35	F
sub-112	26	F
sub-113	21	M
sub-114	23	M
sub-115	22	F
sub-116	24	F
sub-117	22	F
sub-118	22	M
sub-119	18	M
sub-120	28	M
sub-121	22	F
sub-122	35	M
sub-123	27	F
sub-124	23	F
sub-125	24	F
sub-126	23	F
sub-127	29	F
