participant_id	age	sex	group
sub-1	25	F	unpersuaded
sub-2	25	F	unpersuaded
sub-3	22	F	persuaded
sub-4	25	M	persuaded
sub-5	20	M	unpersuaded
sub-6	18	F	persuaded
sub-7	21	M	unpersuaded
sub-8	19	M	persuaded
sub-9	18	F	persuaded
sub-10	19	F	unpersuaded
sub-11	28	F	persuaded
sub-12	20	F	persuaded
sub-13	18	F	persuaded
sub-14	22	F	persuaded
sub-15	18	M	unpersuaded
sub-16	20	M	persuaded
sub-17	20	M	persuaded
sub-18	20	F	persuaded
sub-19	20	F	persuaded
sub-20	23	F	unpersuaded
sub-21	20	F	unpersuaded
sub-22	19	F	unpersuaded
sub-23	20	F	unpersuaded
sub-24	20	F	unpersuaded
sub-25	22	F	unpersuaded
sub-26	23	F	persuaded
sub-27	19	M	unpersuaded
sub-28	22	M	persuaded
sub-29	29	F	persuaded
sub-30	24	M	unpersuaded
sub-31	20	F	unpersuaded
sub-32	18	F	unpersuaded
sub-33	18	M	persuaded
sub-34	20	F	unpersuaded
sub-35	19	F	unpersuaded
sub-36	19	F	persuaded
sub-37	24	M	persuaded
sub-38	22	M	persuaded
sub-39	21	M	unpersuaded
sub-40	32	M	persuaded
sub-41	28	M	unpersuaded
sub-42	21	M	unpersuaded
sub-43	19	M	unpersuaded
sub-44	18	M	unpersuaded
sub-45	29	M	unpersuaded
sub-46	18	M	persuaded
sub-47	21	M	unpersuaded
sub-48	22	M	persuaded
sub-49	24	M	persuaded
sub-50	19	M	unpersuaded
