participant_id	sex	age
sub-001	m	22
sub-002	f	20
sub-003	f	21
sub-004	f	20
sub-005	f	20
sub-006	m	21
sub-007	m	24
sub-008	f	21
sub-009	m	20
sub-010	f	22
sub-011	m	28
sub-012	m	27
sub-013	f	20
sub-014	m	19
sub-015	m	21
sub-016	f	29
sub-017	m	29
sub-018	m	22
sub-019	f	21
sub-020	m	21
sub-021	f	20
sub-022	f	22
sub-023	m	22
sub-024	f	22
sub-025	m	24
sub-026	m	21
sub-027	f	20
sub-028	m	22
sub-029	f	19
sub-030	m	22
sub-031	m	24
sub-032	f	22
sub-033	f	19
sub-034	f	21
sub-035	m	22
sub-036	f	23
sub-037	f	21
sub-038	f	22
sub-039	f	23
sub-040	m	23
sub-041	m	23
sub-042	f	19
sub-043	m	20
sub-044	m	22
sub-045	m	20
sub-046	f	20
sub-047	m	29
sub-048	f	21
sub-049	m	21
